run_id,model,dataset,lang,n,seed,val_f1_weighted,test_f1_weighted,train_seconds
afroxlmr_lug_100_123,afroxlmr,sib200,lug,100,123,0.2670379470379471,0.2670379470379471,49.73035502433777
afroxlmr_ibo_full_789,afroxlmr,sib200,ibo,full,789,0.8292128292128291,0.8292128292128291,104.93239998817444
afroxlmr_lug_100_42,afroxlmr,sib200,lug,100,42,0.423265404441875,0.423265404441875,45.60037589073181
afroxlmr_ibo_full_1024,afroxlmr,sib200,ibo,full,1024,0.8405387306989137,0.8405387306989137,81.36444306373596
afroxlmr_ibo_full_456,afroxlmr,sib200,ibo,full,456,0.8304087901611121,0.8304087901611121,88.70361757278442
afroxlmr_ibo_full_123,afroxlmr,sib200,ibo,full,123,0.8529087930689762,0.8529087930689762,88.14093780517578
afroxlmr_ibo_full_42,afroxlmr,sib200,ibo,full,42,0.8370850746136788,0.8370850746136788,87.21703386306763
afroxlmr_ibo_500_1024,afroxlmr,sib200,ibo,500,1024,0.8539124282831377,0.8539124282831377,101.1161835193634
afroxlmr_ibo_500_456,afroxlmr,sib200,ibo,500,456,0.8122986780881517,0.8122986780881517,114.88428449630737
afroxlmr_ibo_500_789,afroxlmr,sib200,ibo,500,789,0.8157426751278,0.8157426751278,93.88080263137817
afroxlmr_ibo_500_42,afroxlmr,sib200,ibo,500,42,0.8267617077685727,0.8267617077685727,103.86748909950256
afroxlmr_ibo_500_123,afroxlmr,sib200,ibo,500,123,0.8247157655052392,0.8247157655052392,87.51780891418457
afroxlmr_ibo_250_1024,afroxlmr,sib200,ibo,250,1024,0.730989280989281,0.730989280989281,51.17334485054016
afroxlmr_ibo_250_789,afroxlmr,sib200,ibo,250,789,0.7571986836692719,0.7571986836692719,63.30489253997803
afroxlmr_ibo_250_42,afroxlmr,sib200,ibo,250,42,0.7715572715572716,0.7715572715572716,78.04368853569031
afroxlmr_ibo_250_456,afroxlmr,sib200,ibo,250,456,0.7862139450374744,0.7862139450374744,60.052098989486694
afroxlmr_ibo_250_123,afroxlmr,sib200,ibo,250,123,0.7677149515384809,0.7677149515384809,62.61839532852173
afroxlmr_ibo_100_1024,afroxlmr,sib200,ibo,100,1024,0.7006777300894949,0.7006777300894949,43.49207830429077
afroxlmr_ibo_100_789,afroxlmr,sib200,ibo,100,789,0.7581841581841582,0.7581841581841582,49.89247179031372
afroxlmr_ibo_100_456,afroxlmr,sib200,ibo,100,456,0.7094066505831211,0.7094066505831211,46.39601182937622
afroxlmr_ibo_100_123,afroxlmr,sib200,ibo,100,123,0.7204898212059336,0.7204898212059336,48.21235489845276
afroxlmr_hau_full_789,afroxlmr,sib200,hau,full,789,0.891084361672597,0.891084361672597,84.26551628112793
afroxlmr_hau_full_1024,afroxlmr,sib200,hau,full,1024,0.8581250753779638,0.8581250753779638,71.78347134590149
afroxlmr_ibo_100_42,afroxlmr,sib200,ibo,100,42,0.7550327614093604,0.7550327614093604,46.89733672142029
afroxlmr_hau_full_123,afroxlmr,sib200,hau,full,123,0.8898708162501268,0.8898708162501268,72.03912854194641
afroxlmr_hau_full_456,afroxlmr,sib200,hau,full,456,0.8923048100874048,0.8923048100874048,73.89923357963562
afroxlmr_hau_full_42,afroxlmr,sib200,hau,full,42,0.8752817934213284,0.8752817934213284,64.56806945800781
afroxlmr_hau_500_1024,afroxlmr,sib200,hau,500,1024,0.8707164307164308,0.8707164307164308,89.22273540496826
afroxlmr_hau_500_789,afroxlmr,sib200,hau,500,789,0.8497644768609495,0.8497644768609495,103.26111674308777
afroxlmr_hau_500_123,afroxlmr,sib200,hau,500,123,0.9054203309428638,0.9054203309428638,88.7324571609497
afroxlmr_hau_500_456,afroxlmr,sib200,hau,500,456,0.8631737895531,0.8631737895531,77.00828981399536
afroxlmr_hau_500_42,afroxlmr,sib200,hau,500,42,0.8792243200137936,0.8792243200137936,78.33603835105896
afroxlmr_hau_250_1024,afroxlmr,sib200,hau,250,1024,0.812452128241602,0.812452128241602,53.909589767456055
afroxlmr_hau_250_123,afroxlmr,sib200,hau,250,123,0.8441202994465351,0.8441202994465351,71.64776349067688
afroxlmr_hau_250_789,afroxlmr,sib200,hau,250,789,0.817654856679247,0.817654856679247,51.950931787490845
afroxlmr_hau_250_456,afroxlmr,sib200,hau,250,456,0.7964604906973747,0.7964604906973747,55.31874752044678
afroxlmr_hau_250_42,afroxlmr,sib200,hau,250,42,0.8222576291741521,0.8222576291741521,46.559592962265015
afroxlmr_hau_100_1024,afroxlmr,sib200,hau,100,1024,0.7733045203057443,0.7733045203057443,47.30631136894226
afroxlmr_hau_100_789,afroxlmr,sib200,hau,100,789,0.7953100158982512,0.7953100158982512,42.73407959938049
afroxlmr_hau_100_456,afroxlmr,sib200,hau,100,456,0.8265872949464281,0.8265872949464281,48.04468894004822
afroxlmr_hau_100_42,afroxlmr,sib200,hau,100,42,0.767504835589942,0.767504835589942,56.26084041595459
afroxlmr_hau_100_123,afroxlmr,sib200,hau,100,123,0.7653097589248161,0.7653097589248161,45.249674797058105
xlmr_amh_full_1024,xlmr,sib200,amh,full,1024,0.8102702702702703,0.8102702702702703,74.82710576057434
xlmr_amh_full_789,xlmr,sib200,amh,full,789,0.8501358501358501,0.8501358501358501,72.82794380187988
xlmr_amh_full_456,xlmr,sib200,amh,full,456,0.8364731210761683,0.8364731210761683,73.16184711456299
xlmr_amh_full_123,xlmr,sib200,amh,full,123,0.8258979758979759,0.8258979758979759,81.4218327999115
xlmr_amh_full_42,xlmr,sib200,amh,full,42,0.8475781908921444,0.8475781908921444,71.07505345344543
xlmr_amh_500_1024,xlmr,sib200,amh,500,1024,0.8124534571290998,0.8124534571290998,65.98974347114563
xlmr_amh_500_789,xlmr,sib200,amh,500,789,0.8510101634815593,0.8510101634815593,91.49111485481262
xlmr_amh_500_456,xlmr,sib200,amh,500,456,0.8374797157405853,0.8374797157405853,91.7645354270935
