dataset,lang,scale,seed,classifier,best_feature_type,best_clf_params,val_f1,test_f1,n_train
afrisenti,ibo,250,789,xgboost,char_3to5,{'n_estimators': 200},0.550403,0.507074,250
afrisenti,ibo,250,456,xgboost,char_3to5,{'n_estimators': 100},0.560599,0.529743,250
afrisenti,ibo,250,42,xgboost,char_3to5,{'n_estimators': 100},0.587655,0.567995,250
afrisenti,ibo,250,1024,xgboost,char_3to5,{'n_estimators': 100},0.554726,0.589125,250
afrisenti,ibo,100,123,xgboost,char_3to5,{'n_estimators': 100},0.499851,0.483963,100
afrisenti,ibo,100,42,xgboost,char_3to5,{'n_estimators': 300},0.488176,0.500331,100
afrisenti,ibo,100,456,xgboost,char_3to5,{'n_estimators': 100},0.467707,0.453425,100
afrisenti,ibo,100,789,xgboost,char_3to5,{'n_estimators': 100},0.478127,0.468214,100
afrisenti,ibo,100,1024,xgboost,char_3to5,{'n_estimators': 100},0.494372,0.495219,100
afrisenti,orm,750,42,naive_bayes,char_3to5,{'alpha': 0.01},0.325434,0.297568,750
afrisenti,orm,500,42,naive_bayes,char_3to5,{'alpha': 0.01},0.327901,0.256784,500
afrisenti,orm,full,42,naive_bayes,word_unigram,{'alpha': 0.5},0.309567,0.275385,11763
afrisenti,orm,750,123,naive_bayes,word_bigram,{'alpha': 0.01},0.322262,0.247864,750
afrisenti,orm,750,789,naive_bayes,word_bigram,{'alpha': 0.01},0.302958,0.169657,750
afrisenti,orm,750,456,naive_bayes,char_3to5,{'alpha': 0.5},0.302808,0.222765,750
afrisenti,orm,750,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.318387,0.281608,750
afrisenti,orm,500,789,naive_bayes,word_bigram,{'alpha': 0.01},0.297355,0.144478,500
afrisenti,orm,500,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.305052,0.285479,500
afrisenti,orm,250,456,naive_bayes,char_3to5,{'alpha': 0.01},0.32346,0.319293,250
afrisenti,orm,250,1024,naive_bayes,char_3to5,{'alpha': 0.1},0.301615,0.260388,250
afrisenti,orm,500,456,naive_bayes,word_bigram,{'alpha': 0.01},0.294326,0.194084,500
afrisenti,orm,100,456,naive_bayes,char_3to5,{'alpha': 0.5},0.295104,0.233559,100
afrisenti,orm,500,123,naive_bayes,word_unigram,{'alpha': 0.1},0.305793,0.24896,500
afrisenti,orm,100,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.320961,0.23713,100
afrisenti,orm,250,789,naive_bayes,word_unigram,{'alpha': 0.01},0.283193,0.143526,250
afrisenti,orm,100,789,naive_bayes,char_3to5,{'alpha': 0.01},0.308336,0.254953,100
afrisenti,orm,250,123,naive_bayes,word_bigram,{'alpha': 0.01},0.289985,0.185133,250
afrisenti,orm,100,42,naive_bayes,char_3to5,{'alpha': 0.01},0.279337,0.199938,100
afrisenti,orm,100,123,naive_bayes,char_3to5,{'alpha': 0.01},0.318476,0.317126,100
afrisenti,orm,250,42,naive_bayes,char_3to5,{'alpha': 0.01},0.297899,0.229775,250
afrisenti,orm,full,42,svm,word_unigram,{'C': 10.0},0.322627,0.314009,11763
afrisenti,orm,750,123,svm,word_bigram,{'C': 1.0},0.25272,0.290885,750
afrisenti,orm,100,123,svm,char_3to5,{'C': 10.0},0.285067,0.257037,100
afrisenti,orm,100,42,svm,word_unigram,{'C': 100.0},0.27077,0.192643,100
afrisenti,orm,750,42,svm,char_3to5,{'C': 0.1},0.264948,0.246886,750
afrisenti,orm,750,789,svm,word_unigram,{'C': 10.0},0.321185,0.298043,750
afrisenti,orm,750,456,svm,word_unigram,{'C': 10.0},0.312292,0.283295,750
afrisenti,orm,750,1024,svm,char_3to5,{'C': 100.0},0.286873,0.234798,750
afrisenti,orm,100,456,svm,char_3to5,{'C': 0.1},0.292302,0.1932,100
afrisenti,orm,500,1024,svm,word_bigram,{'C': 1.0},0.278976,0.209156,500
afrisenti,orm,500,456,svm,char_3to5,{'C': 10.0},0.289143,0.283057,500
afrisenti,orm,500,789,svm,word_unigram,{'C': 10.0},0.314579,0.284344,500
afrisenti,orm,500,42,svm,char_3to5,{'C': 10.0},0.278058,0.229214,500
afrisenti,orm,500,123,svm,word_bigram,{'C': 10.0},0.270427,0.19595,500
afrisenti,orm,250,456,svm,char_3to5,{'C': 0.1},0.282127,0.252532,250
afrisenti,orm,250,42,svm,char_3to5,{'C': 1.0},0.27697,0.191172,250
afrisenti,orm,250,1024,svm,char_3to5,{'C': 0.1},0.288367,0.178198,250
afrisenti,orm,250,789,svm,word_unigram,{'C': 10.0},0.298905,0.295777,250
afrisenti,orm,100,1024,svm,char_3to5,{'C': 10.0},0.290194,0.219987,100
afrisenti,orm,250,123,svm,word_bigram,{'C': 1.0},0.28208,0.175409,250
afrisenti,orm,100,789,svm,char_3to5,{'C': 100.0},0.293008,0.247099,100
afrisenti,orm,full,42,xgboost,char_3to5,{'n_estimators': 500},0.192632,0.266666,11763
afrisenti,orm,750,123,xgboost,char_3to5,{'n_estimators': 500},0.260574,0.335711,750
afrisenti,orm,750,456,xgboost,char_3to5,{'n_estimators': 300},0.275266,0.291297,750
afrisenti,orm,750,42,xgboost,char_3to5,{'n_estimators': 300},0.273916,0.24846,750
afrisenti,orm,750,1024,xgboost,char_3to5,{'n_estimators': 100},0.269915,0.244464,750
afrisenti,orm,750,789,xgboost,char_3to5,{'n_estimators': 100},0.257457,0.277713,750
afrisenti,orm,500,123,xgboost,char_3to5,{'n_estimators': 500},0.283078,0.352599,500
afrisenti,orm,500,1024,xgboost,char_3to5,{'n_estimators': 200},0.274665,0.282335,500
afrisenti,orm,500,456,xgboost,char_3to5,{'n_estimators': 200},0.271745,0.321661,500
afrisenti,orm,500,789,xgboost,char_3to5,{'n_estimators': 200},0.223478,0.29269,500
afrisenti,orm,500,42,xgboost,char_3to5,{'n_estimators': 200},0.272887,0.229896,500
afrisenti,orm,250,123,xgboost,char_3to5,{'n_estimators': 500},0.304118,0.292735,250
afrisenti,orm,250,1024,xgboost,char_3to5,{'n_estimators': 100},0.277274,0.300114,250
afrisenti,orm,250,456,xgboost,char_3to5,{'n_estimators': 100},0.212823,0.303609,250
afrisenti,orm,250,42,xgboost,char_3to5,{'n_estimators': 200},0.276367,0.250918,250
afrisenti,orm,250,789,xgboost,char_3to5,{'n_estimators': 100},0.270851,0.29859,250
